bill_id,merchant_id,legal_name,commercial_name,business_type,admin_email,telephone_number,amount,paid_amount,fee,commission_amount,status,payment_date,user_id,state
64-054-4567,65,Shufflebeat,Ooba,water,scouper15@dagondesign.com,954-678-0288,2956.09,2619.71,6.76,7.21,failed,11/7/2024 10:38,20,Florida
35-936-4484,27,Feedfish,Youtags,Electric,qtibbles16@ed.gov,785-605-6733,2343.79,2454.52,9.98,6.65,success,6/5/2025 6:50,1,Kansas
22-352-2394,40,Flipbug,Jayo,water,cmccarle17@amazonaws.com,816-713-6844,1319.75,2863.27,9.53,3.78,failed,2/15/2025 13:44,100,Missouri
60-597-8078,41,Ozu,Devcast,Electric,kwardrope18@t-online.de,801-409-7252,855.87,1985.16,7.53,5.98,failed,2/15/2025 13:56,56,Utah
94-751-5192,31,Vimbo,Layo,gas,vhaill19@joomla.org,202-701-5630,1398.24,2976.75,4.29,2.52,failed,5/25/2025 1:15,24,District of Columbia
52-050-5226,68,Divanoodle,Innojam,water,tguyon1a@bravesites.com,505-247-6456,982.78,183.85,1.07,6.85,success,2/27/2025 1:37,64,New Mexico
22-303-4575,83,Twimbo,Oodoo,water,kmacellar1b@list-manage.com,312-279-3557,2710.84,1217.65,9.4,2.25,failed,10/8/2024 5:43,52,Illinois
33-435-0202,83,Rhynoodle,Skyba,gas,oriseborough1c@go.com,718-243-7633,1231.99,3011.81,1.57,1.43,success,8/5/2024 4:26,40,New York
78-444-6684,39,Topiclounge,Vinte,gas,aritter1d@t-online.de,309-831-0010,517.58,1887.93,5.62,1.71,success,11/22/2024 9:48,73,Illinois
66-961-4096,8,Meezzy,Twitterworks,water,hfevers1e@redcross.org,352-752-0646,1701.67,1299.11,8.98,5.65,failed,8/11/2024 21:05,32,Florida
32-626-9148,22,Youspan,Edgewire,water,cwillows1f@blog.com,203-288-2988,216.41,1822.87,1.36,4.74,success,2/19/2025 11:19,12,Connecticut
64-505-7512,7,Wordify,Feedfish,water,eskamal1g@boston.com,303-864-7889,2035.21,2731.84,1.22,7.8,failed,11/15/2024 16:45,48,Colorado
58-476-8664,54,Yombu,JumpXS,Electric,gthowless1h@blogs.com,410-737-9980,1690.51,904.42,5.82,9.82,success,5/22/2025 4:10,87,Maryland
19-258-8517,15,Flipbug,Wikibox,gas,dfeldhammer1i@sfgate.com,917-177-9585,733.74,2848.08,6.54,6.14,failed,3/3/2025 2:12,61,New York
89-039-6664,21,Vimbo,Dabshots,gas,akeetley1j@icio.us,413-362-6323,2327.78,1946.31,5.53,1.51,failed,9/8/2024 12:02,79,Massachusetts
79-871-1263,16,Blognation,Voonder,water,panan1k@reverbnation.com,915-272-4844,1151.34,583.49,3.15,4.03,failed,12/15/2024 14:25,7,Texas
07-251-4243,68,Vitz,Reallinks,water,dbrave1l@noaa.gov,585-993-9520,2713.29,2753.92,1.68,4.69,failed,3/15/2025 7:46,22,New York
51-164-5778,46,Realbuzz,Yakitri,Electric,vmeadowcraft1m@imgur.com,702-929-9484,1458.79,3423.82,4.24,5.83,success,10/22/2024 18:02,62,Nevada
87-034-8503,28,Gabspot,Wikizz,water,harrigucci1n@soundcloud.com,515-797-9282,990.7,341.91,3.95,2,failed,1/20/2025 15:15,77,Iowa
15-779-5669,72,Twitternation,Rhyloo,water,lperrelle1o@chronoengine.com,586-801-3331,2662.59,904.87,8.35,6.51,success,2/7/2025 13:54,13,Michigan
69-325-9812,4,Kayveo,Quimm,water,asimons1p@bing.com,469-479-1958,901.35,1950.26,9.35,4.75,success,11/30/2024 16:10,36,Texas
77-588-5282,24,Ooba,Janyx,Electric,ddudleston1q@buzzfeed.com,843-405-0838,1918.39,2353.51,8.97,9.06,failed,10/9/2024 23:05,56,South Carolina
52-433-1092,77,Topicblab,Feednation,water,mivanchenkov1r@altervista.org,407-791-4823,604.69,1268.19,4.71,5.97,success,11/18/2024 15:31,48,Florida
06-776-0061,69,Kare,Ainyx,Electric,jtinto1s@mozilla.com,480-499-5194,1907.99,687.1,1.65,8.36,failed,12/25/2024 4:37,51,Arizona
90-682-3856,5,Feednation,Flashpoint,gas,ktwinn1t@t.co,915-598-9208,1718.79,1582.34,0.95,7.59,failed,4/3/2025 22:39,88,Texas
85-517-8861,55,Gigashots,Mynte,Electric,gjanik1u@comsenz.com,561-971-1876,782.71,2193.57,8.65,6.91,failed,5/20/2025 9:41,7,Florida
90-599-3729,20,Zoonder,Fatz,Electric,joak1v@stanford.edu,719-969-0062,2925.8,519.93,6.62,7.14,success,5/15/2025 6:19,30,Colorado
42-621-8042,63,Twimbo,Gigazoom,water,yjirus1w@apache.org,952-882-7309,124.31,812.4,5.85,9.88,success,5/14/2025 0:23,14,Minnesota
01-348-3001,96,Dynabox,Nlounge,water,eingerson1x@oracle.com,936-829-3882,2519.01,2878.34,1.27,4.73,success,12/24/2024 11:04,68,Texas
11-788-9087,67,Quatz,Yadel,water,fadaway1y@dell.com,949-562-8316,2749.49,1769.69,1.11,7.52,success,3/31/2025 16:39,31,California
00-820-6701,78,Plambee,Realcube,water,saldis1z@msn.com,512-243-3716,52.59,1954.81,5.24,9.95,failed,10/14/2024 8:42,73,Texas
02-551-7803,71,Zoonder,Skyndu,water,cballin20@netscape.com,331-935-3645,1598.49,3373.59,0.64,7.68,failed,11/14/2024 1:42,32,Illinois
97-913-2457,93,Gigabox,Yabox,water,manthoine21@usnews.com,202-103-9510,2178.03,3346.47,6.12,4.05,failed,7/14/2024 14:26,26,District of Columbia
56-313-0802,27,Cogibox,Devbug,gas,sravilious22@youtu.be,239-515-9109,1818.58,3055.42,8.56,5.95,success,5/25/2025 23:27,25,Florida
99-137-4363,62,Meevee,Photofeed,gas,gzute23@nymag.com,724-931-8002,1956.79,169.33,8.29,6.57,success,2/28/2025 1:24,80,Pennsylvania
17-008-9109,59,Bluejam,Skinder,Electric,vdruitt24@nature.com,312-376-5050,2213.6,731.8,8.64,5.63,failed,3/2/2025 9:50,72,Illinois
12-352-4464,94,Pixonyx,Tagfeed,gas,edorsay25@smh.com.au,812-885-6162,494.66,372.64,8.94,3.71,failed,9/25/2024 22:59,85,Indiana
12-982-4106,44,JumpXS,Camido,water,sells26@cmu.edu,513-159-9076,2448.04,456.37,5.95,6.62,success,12/26/2024 7:16,90,Ohio
48-706-6206,100,Yakijo,Latz,water,awardhaugh27@fc2.com,815-175-7487,2622.52,203.85,6.33,3.44,failed,12/5/2024 7:11,75,Illinois
87-076-7816,15,Pixonyx,Eamia,water,gkinge28@canalblog.com,816-130-8985,2702.27,846.24,7.33,2.37,failed,2/28/2025 12:17,22,Missouri
29-573-4227,23,Brainsphere,Podcat,gas,hpavlasek29@japanpost.jp,562-562-3767,906.27,359.23,4.8,4.09,failed,3/13/2025 1:59,45,California
82-614-8576,47,Flashdog,Gigazoom,gas,rimison2a@nih.gov,314-818-5287,20.37,175.65,4.26,9.58,success,10/22/2024 2:20,19,Missouri
84-183-3009,85,Twiyo,Podcat,Electric,kcastillo2b@mozilla.com,915-324-4179,2464.17,2044.27,7.24,2.05,success,5/31/2025 19:39,30,Texas
87-285-7556,43,Jabbersphere,Devpoint,gas,meskell2c@nps.gov,727-857-2836,343.49,2619.81,9.69,8.57,success,9/14/2024 15:40,52,Florida
96-128-4513,50,Wordpedia,Realcube,water,cgligorijevic2d@pbs.org,215-229-3373,520.02,1494.44,8.53,4.14,failed,3/8/2025 17:33,90,Pennsylvania
37-494-4094,90,Bluejam,Zoomdog,gas,sbahia2e@deviantart.com,602-916-6757,2763.58,2777.7,0.01,1.48,failed,11/8/2024 0:10,94,Arizona
15-581-8006,96,Katz,Topicstorm,water,rpurbrick2f@paginegialle.it,407-666-6452,1442.75,1201.5,7.4,5.92,failed,10/25/2024 6:49,92,Florida
35-796-6613,80,Livetube,Aibox,gas,hreiglar2g@etsy.com,336-206-4254,802.92,899.4,8.82,8.12,failed,11/1/2024 22:35,57,North Carolina
38-282-1177,22,Tagtune,Twitterbeat,gas,gparkin2h@psu.edu,202-749-9051,1803.29,3205.56,3.17,3.85,success,11/13/2024 12:07,92,District of Columbia
25-534-1598,26,Trilith,Tagopia,water,mdavidek2i@washington.edu,202-689-2373,2331.17,742.66,9.5,7.88,failed,10/3/2024 0:43,77,District of Columbia
47-415-1903,9,Demizz,Meeveo,water,nmacgaughey2j@oakley.com,330-987-7518,1214.98,822.52,8.77,8.95,failed,10/14/2024 2:10,45,Ohio
70-906-0161,67,Skinder,Tagtune,Electric,ktodeo2k@cam.ac.uk,904-488-0772,1746.73,1138.26,1.93,8.96,success,12/14/2024 15:22,14,Florida
06-673-0683,3,Tambee,Gigabox,Electric,rbeveridge2l@technorati.com,614-431-3081,2327.63,2993.89,6.48,2.9,success,11/19/2024 18:25,80,Ohio
48-178-0424,37,Tagchat,Gabtype,Electric,cstrelitzer2m@senate.gov,203-735-5621,237.78,2555.03,4.23,3.33,failed,1/30/2025 8:17,54,Connecticut
92-924-5883,42,Tanoodle,Wikizz,Electric,kcantor2n@gnu.org,812-391-0155,1166.89,3433.3,2.45,5.45,success,12/29/2024 12:12,94,Indiana
26-124-7057,45,Mudo,Feedbug,water,dzelake2o@netvibes.com,402-440-8780,527.66,1936.07,5.21,6.39,failed,4/18/2025 9:26,24,Nebraska
39-118-1175,17,Geba,Jabberstorm,water,mheliot2p@free.fr,205-922-3921,746.12,1001.83,0.28,0.43,failed,2/14/2025 17:17,23,Alabama
81-495-6547,72,Dabfeed,Fatz,gas,jinkin2q@posterous.com,321-826-7978,1372.72,1226.42,9.73,6.21,failed,6/18/2025 4:44,91,Florida
00-203-8203,24,Oba,Yodel,gas,showton2r@ed.gov,602-911-0545,1130.07,179.89,8.83,2.88,success,4/23/2025 11:59,50,Arizona
35-636-9601,87,Zooxo,Trudoo,Electric,mgreeves2s@weebly.com,405-547-4761,1221.45,1033.27,4.9,7.94,success,4/8/2025 2:53,55,Oklahoma
61-693-3739,35,Wordpedia,Eazzy,gas,kbalm2t@sina.com.cn,317-429-6119,1344.44,78.16,7.02,3.25,success,5/6/2025 21:02,14,Indiana
45-940-2991,74,Zava,Devpulse,Electric,bdamsell2u@lycos.com,602-562-6638,1222.94,1637.48,0.82,4.25,success,3/4/2025 22:13,71,Arizona
94-969-0651,88,Dynabox,Oyoba,water,jjoskowitz2v@answers.com,914-733-6914,2001.15,2338.45,9.37,1.09,failed,6/18/2025 5:51,37,New York
42-713-2254,56,Photobean,Brightbean,Electric,awinscom2w@about.com,510-711-3742,2202.55,369.33,4.7,7.74,success,3/2/2025 19:05,69,California
32-063-5342,59,Skinte,Quimba,water,mgrimbleby2x@businessinsider.com,321-726-3447,2010.32,1653.31,0.22,3.37,failed,9/2/2024 22:46,45,Florida
60-171-2785,76,Shuffletag,Eare,water,rduligal2y@example.com,239-796-1181,2771.8,2800.82,4.55,6.7,failed,2/1/2025 2:25,34,Florida
30-999-7349,27,Divanoodle,Yodoo,gas,bhennington2z@biglobe.ne.jp,530-246-0542,1278.76,3105.94,8.89,0,failed,12/5/2024 22:08,24,California
90-584-3217,32,Yombu,Brainbox,Electric,wflucks30@fda.gov,214-198-2307,417.76,575.85,8.37,6.11,success,3/5/2025 11:09,66,Texas
40-473-4538,55,Abata,Meeveo,gas,ljoust31@ehow.com,239-711-5710,2331.91,3109.14,3.22,8.18,success,10/30/2024 17:15,83,Florida
53-301-5845,52,Topicshots,Trunyx,water,lsybry32@buzzfeed.com,917-435-3800,881.88,3453.16,9.06,9.64,success,3/17/2025 12:02,73,New York
01-943-7825,31,Oyoloo,Mynte,gas,jacosta33@stanford.edu,404-733-4500,113.83,1180.76,4.2,8.23,failed,2/7/2025 9:13,56,Georgia
87-582-8546,48,Linktype,Blogtags,water,jgrandin34@ustream.tv,850-657-0260,617.3,1427.67,9.2,5.84,failed,6/5/2025 0:01,21,Florida
63-315-4983,47,Lazzy,Tanoodle,Electric,kbaudrey35@dedecms.com,240-750-1568,2761.95,3231.94,8.17,9.6,success,4/24/2025 15:18,6,Maryland
94-709-4214,16,Flipbug,Jabbertype,Electric,adoyly36@liveinternet.ru,202-757-6354,1416.54,565.97,0.77,1.3,success,9/16/2024 22:48,92,District of Columbia
32-617-0561,87,Dynabox,Jazzy,gas,mhenken37@sourceforge.net,318-665-0323,2216.47,1058.19,8.82,4.27,success,1/6/2025 20:59,18,Louisiana
78-670-9856,37,Zoovu,Abatz,water,eivannikov38@dot.gov,706-846-5064,1224.44,50.54,2.99,9.03,success,2/17/2025 17:52,12,Georgia
79-813-3409,84,Fivechat,Latz,gas,cbrunelli39@newyorker.com,815-253-0902,2893.84,2641.82,9.29,6.87,failed,7/23/2024 23:53,75,Illinois
42-056-1140,32,Dabshots,Jayo,Electric,jigoe3a@wikipedia.org,412-645-7777,1453.25,2602.77,9.75,8.66,failed,1/26/2025 8:35,74,Pennsylvania
92-961-2831,60,Janyx,Bluezoom,Electric,rloads3b@soundcloud.com,573-317-0569,744.45,2497.56,4.63,5.31,success,12/23/2024 20:19,16,Missouri
38-500-3892,11,Bluezoom,Roombo,Electric,amacshirie3c@boston.com,203-646-3812,1341.88,188.38,0.58,4.12,success,5/26/2025 5:53,70,Connecticut
71-771-1133,4,Jamia,Quamba,water,rbuttrum3d@businesswire.com,806-949-2588,391.98,102.36,7.42,9.11,success,8/6/2024 14:26,19,Texas
60-219-5559,88,Jabberstorm,Aimbu,water,carnaldo3e@twitter.com,936-743-5087,2255.82,1171.51,5.87,4.65,failed,5/31/2025 15:57,46,Texas
44-541-3698,3,Yotz,Rhynyx,Electric,hcargen3f@pen.io,804-337-0753,2375.08,1083.85,2.4,0.26,success,11/15/2024 11:34,48,Virginia
66-353-4749,37,Edgewire,Edgewire,water,egellier3g@icq.com,805-510-4390,205.64,2022.79,9.82,0.37,failed,3/14/2025 12:50,68,California
00-016-8017,23,Centimia,Eayo,water,mfowlds3h@facebook.com,812-317-0155,2591.05,3407.7,5.85,6.82,failed,11/14/2024 14:27,53,Indiana
02-679-2036,81,Wikivu,Dabtype,Electric,acotton3i@businesswire.com,615-472-2366,1642.45,199.47,2.48,7.91,success,3/13/2025 16:32,12,Tennessee
55-145-3894,6,Meemm,Zoomdog,water,rburbridge3j@dailymail.co.uk,682-608-2197,742.23,892.19,7.62,4.43,success,3/25/2025 13:45,100,Texas
58-861-2719,86,Flashdog,Buzzdog,Electric,fgulliver3k@rambler.ru,915-383-0957,947.43,2367.5,1.57,8.19,success,10/2/2024 12:54,66,Texas
61-869-1476,49,Dabjam,Skinix,Electric,mjersh3l@miitbeian.gov.cn,402-370-5471,1276.51,2515.32,1.31,3.37,success,3/30/2025 2:40,73,Nebraska
94-835-4890,54,Dynabox,Brainsphere,Electric,bdenman3m@mysql.com,480-371-1062,1123.56,1669.52,8.72,5.4,success,6/10/2025 7:08,6,Arizona
23-084-4394,89,Miboo,Browsecat,Electric,begdal3n@cmu.edu,843-610-1987,1091.67,1203.34,1.25,9.89,failed,10/10/2024 23:21,25,South Carolina
99-342-0168,27,Pixoboo,Zooveo,water,jwindaybank3o@chicagotribune.com,502-914-5583,2939.86,1095.88,9.14,8.81,failed,1/22/2025 23:03,69,Kentucky
97-406-4601,85,Realmix,Skaboo,Electric,mlorkings3p@discovery.com,202-617-9916,1952.16,1348.6,1.71,6.44,failed,3/19/2025 21:30,8,Virginia
93-622-3216,81,Brainsphere,Skyble,gas,gnock3q@addtoany.com,202-991-7264,384.23,3478.38,5.65,0.12,success,12/5/2024 11:57,22,District of Columbia
52-725-8103,13,Browsezoom,Meevee,Electric,dpinnere3r@github.com,312-793-6688,1481.31,2116.93,3.94,9.04,success,3/19/2025 13:28,85,Illinois
97-303-0991,38,Vipe,Realmix,water,jbrumhead3s@quantcast.com,515-886-5139,1732.1,1523.82,7.1,6.18,failed,7/6/2024 0:30,81,Iowa
27-406-5527,49,Snaptags,Trupe,Electric,bpetett3t@elegantthemes.com,773-288-0036,1059.08,3399.75,8.16,6.93,success,2/2/2025 19:21,65,Illinois
14-660-2482,14,Roomm,Feednation,gas,cpettko3u@upenn.edu,702-932-4682,1042.04,107.89,8.97,8.79,failed,6/14/2025 9:46,59,Nevada
91-358-7464,54,Yodo,Devbug,Electric,kbartolomeotti3v@cnet.com,202-660-4401,2239.64,1236.36,8.8,7.74,success,8/4/2024 6:56,98,District of Columbia
74-446-5497,44,Blogtags,Zoomlounge,water,jfarley3w@imdb.com,801-530-1251,531.37,1386.46,5.6,8.55,success,4/22/2025 17:29,94,Utah
21-543-8167,35,Feedmix,LiveZ,gas,aprentice3x@newsvine.com,916-808-6496,1959.61,3082.71,1.43,8.59,success,6/12/2025 16:26,20,California
48-118-3665,1,Oloo,Katz,Electric,fbrimble3y@goodreads.com,407-875-3395,355.39,3032.49,5.77,9.1,success,8/26/2024 6:02,49,Florida
58-234-6859,87,Cogibox,Skalith,gas,wcreagh3z@domainmarket.com,509-262-2623,2575.46,1957.37,8.79,2.68,success,10/2/2024 7:13,7,Washington
36-847-2674,6,Myworks,Twiyo,Electric,jarthars40@ft.com,602-623-1751,632.88,2576.05,7.91,0.36,failed,9/17/2024 21:11,62,Arizona
79-607-6655,9,Brightbean,Riffwire,gas,icolbron41@gizmodo.com,702-527-2205,1770.92,1806.56,1.7,3.25,failed,6/7/2025 6:18,56,Nevada
49-990-0055,44,Oyoloo,Voonix,Electric,amanifould42@ifeng.com,312-566-0586,394.36,2832.59,9.4,1.99,failed,1/28/2025 19:22,34,Illinois
02-077-3511,53,Kamba,Kare,water,serley43@noaa.gov,608-878-9441,1445.17,80.05,0.75,0.17,success,1/22/2025 5:46,28,Wisconsin
28-281-2112,9,Tagpad,Twinder,Electric,pvanne44@tmall.com,702-182-5688,2088.07,692.96,9.71,3.02,success,9/8/2024 22:17,93,Nevada
65-413-8523,11,Kimia,Zava,water,ldurrett45@scribd.com,954-503-2618,2971.93,1896.78,8.07,7.54,failed,5/29/2025 13:06,42,Florida
36-991-0658,59,Gigazoom,Thoughtstorm,Electric,thelkin46@angelfire.com,305-891-7347,683.46,1651.12,8.95,3.93,success,12/12/2024 6:53,66,Florida
66-710-4621,66,Abatz,Thoughtstorm,water,clanfer47@discovery.com,202-229-7977,499.59,734.72,2.93,6.3,success,1/17/2025 21:32,11,District of Columbia
17-211-1026,76,Dablist,Skynoodle,Electric,gwallwork48@biglobe.ne.jp,336-551-1897,2671.35,790.2,5.57,7.45,success,7/27/2024 1:03,24,North Carolina
43-780-0654,38,Voonyx,Kimia,Electric,bblackler49@163.com,213-433-9110,2887.48,2357.61,2.75,5.35,success,6/13/2025 0:19,8,California
51-317-7879,68,Agivu,Chatterbridge,Electric,mbooley4a@virginia.edu,702-105-4785,2874.78,355.29,6.38,6.64,failed,1/9/2025 23:45,95,Nevada
99-002-3577,17,Eamia,Twiyo,water,wparkes4b@51.la,215-574-9063,2802.65,2293.51,5.86,6.78,failed,7/26/2024 23:07,22,Pennsylvania
57-246-5998,75,Dablist,Yombu,Electric,bewebank4c@mapy.cz,860-109-5654,688.1,96.67,5.75,5.34,success,10/21/2024 8:00,82,Connecticut
80-719-6731,46,Mynte,Skimia,water,vkibbe4d@deviantart.com,734-602-9074,2812.61,3347.55,4.63,6.74,success,4/21/2025 11:53,70,Michigan
37-038-1610,49,BlogXS,Omba,Electric,ikernocke4e@vimeo.com,916-418-4582,2929.96,1620.1,0.34,8.11,failed,4/10/2025 9:45,46,California
73-824-4156,32,Plajo,Devpulse,gas,dmackney4f@smh.com.au,903-164-8875,2434.01,3192.47,1.35,5.68,failed,1/19/2025 23:13,11,Texas
25-029-3067,67,Rhynoodle,Nlounge,gas,gsimek4g@icq.com,816-871-1680,2187.12,77.04,3.21,7.24,success,4/18/2025 7:01,62,Missouri
65-712-2693,6,Browsebug,Gigazoom,water,dalenichev4h@prweb.com,540-709-7100,1447.87,3143.2,8.13,8.19,failed,7/21/2024 10:28,94,Virginia
30-912-8604,5,Mydeo,Edgeclub,gas,emacgown4i@altervista.org,801-673-3153,2449.06,773.22,8.87,2.61,failed,6/14/2025 23:36,49,Utah
37-333-5387,60,Skyndu,Voonix,Electric,dbeavington4j@nbcnews.com,517-636-3003,955.93,1557.81,1.38,5.74,success,10/5/2024 0:49,40,Michigan
79-195-8616,23,Flashset,Jayo,Electric,vdavy4k@europa.eu,260-393-5035,332.92,334.03,2.66,9.03,failed,3/12/2025 20:03,42,Indiana
94-700-4186,32,Flashpoint,Yakitri,Electric,bsambedge4l@studiopress.com,772-965-2518,1973.88,479.92,7.74,1.8,success,6/15/2025 2:37,78,Florida
12-522-4956,52,Twimm,Kayveo,gas,swoodroff4m@dell.com,806-456-8591,753.81,1705.45,1.38,6.54,failed,11/27/2024 21:40,44,Texas
64-194-7318,4,Rhybox,Twitterworks,Electric,sthiese4n@clickbank.net,515-566-6332,2620.57,1215.1,8.45,4.04,failed,7/1/2024 7:13,82,Iowa
64-215-6533,51,Bluezoom,Quimm,water,hgummie4o@squarespace.com,702-583-8428,799.16,512.53,2.98,2.45,failed,8/14/2024 5:58,1,Nevada
